1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
774	-0.755337	-0.761092	0.028772	18.868090	0.357247	0.106809	0.011203	0.106759	6	50	58
775	-0.760870	-0.766608	0.028688	17.916600	0.365982	0.091002	0.011188	0.090940	7	41	48
776	-0.766322	-0.772220	0.029492	16.965129	0.375154	0.114434	0.011662	0.114178	6	51	58
777	-0.756167	-0.761877	0.028551	17.964800	0.365529	0.110169	0.011138	0.110004	7	49	57
778	-0.727054	-0.732500	0.027229	18.770414	0.358125	0.115147	0.010566	0.115087	6	51	58
779	-0.729503	-0.735215	0.028559	19.769784	0.349346	0.099170	0.011151	0.098940	6	42	49
780	-0.760265	-0.765944	0.028398	20.769784	0.340982	0.090148	0.010995	0.089910	10	52	64
781	-0.739003	-0.744896	0.029465	19.818283	0.348931	0.109716	0.011511	0.109655	7	109	116
782	-0.768876	-0.774734	0.029290	20.818232	0.340587	0.111933	0.011395	0.111742	6	121	128
783	-0.772800	-0.778696	0.029478	19.866731	0.348517	0.101854	0.011444	0.101862	7	51	60
784	-0.779261	-0.785083	0.029109	18.915231	0.356825	0.095064	0.011274	0.094757	7	45	52
785	-0.779626	-0.785411	0.028928	19.915231	0.348104	0.109509	0.011314	0.109588	7	49	57
786	-0.768977	-0.774882	0.029523	20.901531	0.339910	0.104532	0.011574	0.104532	7	41	49
787	-0.737374	-0.743137	0.028816	19.950038	0.347808	0.094455	0.011202	0.094367	6	49	55
788	-0.768375	-0.774175	0.028997	18.998537	0.356082	0.109563	0.011251	0.109268	10	42	52
789	-0.773966	-0.779930	0.029822	19.998537	0.347397	0.108188	0.011730	0.107582	6	47	55
790	-0.779847	-0.785877	0.030151	19.047037	0.355651	0.108910	0.011854	0.108730	6	41	48
791	-0.745927	-0.751778	0.029258	20.047037	0.346986	0.096719	0.011274	0.096504	6	42	49
792	-0.763397	-0.769435	0.030191	20.037733	0.347065	0.100703	0.011737	0.100445	11	43	54
793	-0.776248	-0.782280	0.030160	20.980239	0.339273	0.096387	0.011667	0.096473	6	42	49
794	-0.775376	-0.781236	0.029301	21.944209	0.331657	0.113370	0.011350	0.113464	11	42	55
795	-0.778022	-0.783774	0.028763	22.944209	0.324110	0.106781	0.011239	0.106627	6	42	49
796	-0.722937	-0.728659	0.028608	23.944209	0.316899	0.098447	0.010992	0.098419	6	52	58
